Rank	Country	Population	Date of Information
62	Syria	19454263	July 2018 est.
63	Kazakhstan	18744548	July 2018 est.
64	Mali	18429893	July 2018 est.
65	Chile	17925262	July 2018 est.
66	Netherlands	17151228	July 2018 est.
67	Guatemala	16581273	July 2018 est.
68	Ecuador	16498502	July 2018 est.
69	Cambodia	16449519	July 2018 est.
70	Zambia	16445079	July 2018 est.
71	Chad	15833116	July 2018 est.
72	Senegal	15020945	July 2018 est.
73	Zimbabwe	14030368	July 2018 est.
74	Rwanda	12187400	July 2018 est.
75	Guinea	11855411	July 2018 est.
76	Burundi	11844520	July 2018 est.
77	Belgium	11570762	July 2018 est.
78	Tunisia	11516189	July 2018 est.
79	Benin	11340504	July 2018 est.
80	Bolivia	11306341	July 2018 est.
81	Somalia	11259029	July 2018 est.
82	Cuba	11116396	July 2018 est.
83	Haiti	10788440	July 2018 est.
84	Greece	10761523	July 2018 est.
85	Czechia	10686269	July 2018 est.
86	Jordan	10458413	July 2018 est.
87	Portugal	10355493	July 2018 est.
88	Dominican Republic	10298756	July 2018 est.
89	South Sudan	10204581	July 2018 est.
90	Azerbaijan	10046516	July 2018 est.
91	Sweden	10040995	July 2018 est.
92	Hungary	9825704	July 2018 est.
93	United Arab Emirates	9701315	July 2018 est.
94	Belarus	9527543	July 2018 est.
95	Honduras	9182766	July 2018 est.
96	Austria	8793370	July 2018 est.
97	Tajikistan	8604882	July 2018 est.
98	Israel	8424904	July 2018 est.
99	Switzerland	8292809	July 2018 est.
100	Togo	8176449	July 2018 est.
101	Laos	7234171	July 2018 est.
102	Hong Kong	7213338	July 2018 est.
103	Serbia	7078110	July 2018 est.
104	Bulgaria	7057504	July 2018 est.
105	Papua New Guinea	7027332	July 2018 est.
106	Paraguay	7025763	July 2018 est.
107	Libya	6754507	July 2018 est.
108	Sierra Leone	6312212	July 2018 est.
109	El Salvador	6187271	July 2018 est.
110	Lebanon	6100075	July 2018 est.
111	Nicaragua	6085213	July 2018 est.
112	Singapore	5995991	July 2018 est.
113	Eritrea	5970646	July 2018 est.
114	Kyrgyzstan	5849296	July 2018 est.
115	Denmark	5809502	July 2018 est.
116	Central African Republic	5745062	July 2018 est.
117	Finland	5537364	July 2018 est.
118	Slovakia	5445040	July 2018 est.
119	Turkmenistan	5411012	July 2018 est.
120	Norway	5372191	July 2018 est.
121	Ireland	5068050	July 2018 est.
122	Congo, Republic of the	5062021	July 2018 est.
123	Costa Rica	4987142	July 2018 est.
124	Liberia	4809768	July 2018 est.
125	Oman	4613241	July 2017 est.
126	New Zealand	4545627	July 2018 est.
127	Croatia	4270480	July 2018 est.
128	Georgia	4003000	July 2018 est.
129	Bosnia and Herzegovina	3849891	July 2018 est.
130	Mauritania	3840429	July 2018 est.
131	Panama	3800644	July 2018 est.
132	Moldova	3437720	July 2018 est.
133	Uruguay	3369299	July 2018 est.
134	Puerto Rico	3294626	July 2018 est.
135	Mongolia	3103428	July 2018 est.
136	Albania	3057220	July 2018 est.
137	Armenia	3038217	July 2018 est.
138	Kuwait	2916467	July 2018 est.
139	Jamaica	2812090	July 2018 est.
140	West Bank	2798494	July 2018 est.
141	Lithuania	2793284	July 2018 est.
142	Namibia	2533224	July 2018 est.
143	Qatar	2363569	July 2018 est.
144	Botswana	2249104	July 2018 est.
145	Gabon	2119036	July 2018 est.
146	Macedonia	2118945	July 2018 est.
147	Slovenia	2102126	July 2018 est.
148	Gambia, The	2092731	July 2018 est.
149	Lesotho	1962461	July 2018 est.
150	Latvia	1923559	July 2018 est.
151	Kosovo	1907592	July 2018 est.
152	Gaza Strip	1836713	July 2018 est.
153	Guinea-Bissau	1833247	July 2018 est.
154	Bahrain	1442659	July 2018 est.
155	Mauritius	1364283	July 2018 est.
156	Timor-Leste	1321929	July 2018 est.
157	Estonia	1244288	July 2018 est.
158	Cyprus	1237088	July 2018 est.
159	Trinidad and Tobago	1215527	July 2018 est.
160	Eswatini	1087200	July 2018 est.
161	Fiji	926276	July 2018 est.
162	Djibouti	884017	July 2018 est.
163	Comoros	821164	July 2018 est.
164	Equatorial Guinea	797457	July 2018 est.
165	Bhutan	766397	July 2018 est.
166	Guyana	740685	July 2018 est.
167	Solomon Islands	660121	July 2018 est.
168	Western Sahara	619551	July 2018 est.
169	Montenegro	614249	July 2018 est.
170	Macau	606340	July 2018 est.
171	Luxembourg	605764	July 2018 est.
172	Suriname	597927	July 2018 est.
173	Cabo Verde	568373	July 2018 est.
174	Brunei	450565	July 2018 est.
175	Malta	449043	July 2018 est.
176	Maldives	392473	July 2018 est.
177	Belize	385854	July 2018 est.
178	Iceland	343518	July 2018 est.
179	Bahamas, The	332634	July 2018 est.
180	Barbados	293131	July 2018 est.
181	French Polynesia	290373	July 2018 est.
182	Vanuatu	288037	July 2018 est.
183	New Caledonia	282754	July 2018 est.
184	Sao Tome and Principe	204454	July 2018 est.
185	Samoa	201316	July 2018 est.
186	Guam	167772	July 2018 est.
187	Saint Lucia	165510	July 2018 est.
188	Curacao	150241	July 2018 est.
189	Aruba	116576	July 2018 est.
190	Grenada	112207	July 2018 est.
191	Kiribati	109367	July 2018 est.
192	Virgin Islands	106977	July 2018 est.
193	Tonga	106398	July 2018 est.
194	Micronesia, Federated States of	103643	July 2018 est.
195	Saint Vincent and the Grenadines	101844	July 2018 est.
196	Jersey	99602	July 2018 est.
197	Antigua and Barbuda	95882	July 2018 est.
198	Seychelles	94633	July 2018 est.
199	Isle of Man	89407	July 2018 est.
200	Andorra	85708	July 2018 est.
201	Marshall Islands	75684	July 2018 est.
202	Dominica	74027	July 2018 est.
203	Bermuda	71176	July 2018 est.
204	Guernsey	66697	July 2018 est.
205	Cayman Islands	59613	July 2018 est.
206	Greenland	57691	July 2018 est.
207	Turks and Caicos Islands	53701	July 2018 est.
208	Saint Kitts and Nevis	53094	July 2018 est.
209	Northern Mariana Islands	51994	July 2018 est.
210	Faroe Islands	51018	July 2018 est.
211	American Samoa	50826	July 2018 est.
212	Sint Maarten	42677	July 2018 est.
213	Liechtenstein	38547	July 2018 est.
214	British Virgin Islands	35802	July 2018 est.
215	San Marino	33779	July 2018 est.
216	Saint Martin	32284	July 2018 est.
217	Monaco	30727	July 2018 est.
218	Gibraltar	29461	July 2018 est.
219	Palau	21516	July 2018 est.
220	Anguilla	17422	July 2018 est.
221	Wallis and Futuna	15763	July 2018 est.
222	Tuvalu	11147	July 2018 est.
223	Nauru	9692	July 2018 est.
224	Cook Islands	9038	July 2018 est.
225	Saint Helena, Ascension, and Tristan da Cunha	7841	July 2018 est.
226	Saint Barthelemy	7160	July 2018 est.
227	Saint Pierre and Miquelon	5471	July 2018 est.
228	Montserrat	5315	July 2018 est.
229	Falkland Islands (Islas Malvinas)	3198	2016 est.
230	Svalbard	2583	July 2017 est.
231	Christmas Island	2205	July 2016 est.
232	Norfolk Island	1748	2016 est.
233	Niue	1618	
234	Paracel Islands	1440	2014 est.
235	Tokelau	1285	2016 est.
236	Holy See (Vatican City)	1000	2017 est.
237	Cocos (Keeling) Islands	596	July 2014 est.
238	Pitcairn Islands	54	July 2016 est.
