Rank	Country	(%)	Date of Information
195	Grenada	24.00	2017 est.
196	Mozambique	24.50	2017 est.
197	Korea, North	25.60	2013 est.
198	Yemen	27.00	2014 est.
199	Venezuela	27.10	2017 est.
200	South Africa	27.50	2017 est.
201	Gaza Strip	27.90	2017 est.
202	West Bank	27.90	2017 est.
203	Eswatini	28.00	2014 est.
204	Gabon	28.00	2015 est.
205	Lesotho	28.10	2014 est.
206	American Samoa	29.80	2005
207	Libya	30.00	2004 est.
208	Kosovo	30.50	2017 est.
209	Kiribati	30.60	2010 est.
210	Namibia	34.00	2016 est.
211	Congo, Republic of the	36.00	2014 est.
212	Marshall Islands	36.00	2006 est.
213	Djibouti	40.00	2017 est.
214	Kenya	40.00	2013 est.
215	Haiti	40.60	2010 est.
216	Senegal	48.00	2007 est.
217	Syria	50.00	2017 est.
218	Burkina Faso	77.00	2004
